DO ID	DO term	OMIM ID	DO Exact Synonym
"DOID:227"	"ankylosis"		
"DOID:381"	"arthropathy"		Ankylosis of joint of ankle and\/or foot (disorder), Ankylosis of joint of forearm (disorder), Ankylosis of joint of hand (disorder), Ankylosis of joint of lower leg (disorder), Ankylosis of joint of multiple sites (disorder), Ankylosis of joint of shoulder region (disorder), Ankylosis of joint of upper arm (disorder), Ankylosis of multiple joints, Infectious arthropathy, Joint ankylosis of the ankle and foot, Joint ankylosis of the ankle and\/or foot (disorder), Joint ankylosis of the forearm (disorder), Joint ankylosis of the forearm, Joint ankylosis of the hand, Joint ankylosis of the lower leg (disorder), Joint ankylosis of the lower leg, Joint ankylosis of the pelvic region and thigh (disorder), Joint ankylosis of the pelvic region and thigh, Joint ankylosis of the shoulder region (disorder), Joint ankylosis of the shoulder region, Joint ankylosis of the upper arm (disorder), Joint ankylosis of the upper arm, ankylosis of ankle and foot joint, ankylosis of forearm joint, ankylosis of hand joint, ankylosis of joint of multiple sites, ankylosis of joint of pelvic region and thigh, ankylosis of joint of shoulder region, ankylosis of lower leg joint, ankylosis of upper arm joint
"DOID:345"	"uterine disease"		
"DOID:0060329"	"ectopic pregnancy"		eccyesis
"DOID:1003"	"pelvic inflammatory disease"		PID
"DOID:1100"	"ovarian disease"		
"DOID:12735"	"hernia of ovary and fallopian tube"		
"DOID:1284"	"prolapse of female genital organ"		
"DOID:13938"	"amenorrhea"		absence of menstruation, amenia
"DOID:14133"	"Masters-Allen syndrome"		Broad ligament laceration syndrome
"DOID:1962"	"fallopian tube disease"		
"DOID:2059"	"vulvar disease"		
"DOID:2273"	"vulvovaginitis"		Vulvo-vaginitis
"DOID:289"	"endometriosis"		
"DOID:429"	"gynatresia"		
"DOID:4333"	"parovarian cyst"		Cyst, fimbrial, Embryonic fimbrial cyst
"DOID:727"	"premenstrual tension"		
"DOID:7518"	"inhibited female orgasm"		female Orgasmic disorder
"DOID:851"	"Bartholin's duct cyst"		Bartholin duct cyst, Bartholin's Cyst, Cyst of Bartholin's gland duct, Cyst of Bartholin's gland
"DOID:230"	"lateral sclerosis"	611637	adult-onset primary lateral sclerosis, primary lateral sclerosis
"DOID:231"	"motor neuron disease"		
"DOID:12377"	"spinal muscular atrophy"		
"DOID:332"	"amyotrophic lateral sclerosis"	105400, 205100, 205200, 602433, 608030, 611895, 612069, 612577, 613435	ALS, Lou Gehrig's disease, motor neuron disease, bulbar
"DOID:12680"	"pseudobulbar palsy"		Pseudobulbar palsy (disorder), Pseudobulbar palsy, pseudobulbar paralysis
"DOID:318"	"progressive muscular atrophy"		Pure progressive muscular atrophy, progressive spinal muscular atrophy
"DOID:681"	"progressive bulbar palsy"		
"DOID:683"	"motor neuritis"		peripheral motor Neuropathy, peripheral motor neuropathy (disorder)
"DOID:234"	"colon adenocarcinoma"		Colonic adenocarcinoma, adenocarcinoma of colon
"DOID:3029"	"colon mucinous adenocarcinoma"		Colonic mucinous adenocarcinoma
"DOID:3033"	"colon signet ring adenocarcinoma"		Colonic Signet Ring adenocarcinoma
"DOID:3038"	"submucosal invasive colon adenocarcinoma"		
"DOID:235"	"colonic benign neoplasm"		Colonic Mass, Colonic tumor, colon neoplasm, neoplasm of colon (disorder)
"DOID:4610"	"intestinal benign neoplasm"		intestinal tumors, intestine growth, neoplasm of intestinal tract
"DOID:0050912"	"colon adenoma"		
"DOID:10657"	"colonic lymphangioma"		Colonic Lymphangioma, Lymphangioma of colon
"DOID:1896"	"sigmoid neoplasm"		neoplasm of sigmoid colon (disorder), tumor of sigmoid colon (disorder)
"DOID:4118"	"colon neuroendocrine neoplasm"		Colonic neuroendocrine tumor
"DOID:238"	"pupil disease"		Pupillary disorder
"DOID:11177"	"total internal ophthalmoplegia"		
"DOID:11518"	"abnormal pupillary function"		
"DOID:240"	"iris disease"		
"DOID:3480"	"uveal disease"		
"DOID:12271"	"aniridia"	106210	Aplasia of iris
"DOID:13641"	"exfoliation syndrome"	177650	Pseudoexfoliation glaucoma, Pseudoexfoliation syndrome
"DOID:1406"	"iritis"		
"DOID:4353"	"ciliary body disease"		
"DOID:248"	"trachea leiomyoma"		Tracheal tumor, leiomyoma of the Trachea, neoplasm of trachea (disorder), trachea neoplasm, tracheal neoplasm
"DOID:0050621"	"respiratory system benign neoplasm"		
"DOID:251"	"alcohol-induced mental disorder"		
"DOID:8646"	"substance-induced psychosis"		
"DOID:252"	"alcoholic psychosis"		Alcoholic psychoses
"DOID:254"	"hemangioma of intra-abdominal structure"		hemangioma of intra-abdominal structure (disorder), hemangioma of intra-abdominal structures (disorder), hemangioma of intra-abdominal structures, hemangioma, Intra-abdominal
"DOID:255"	"hemangioma"		
"DOID:256"	"hemangioma of spleen"		Splenic hemangioma, hemangioma of spleen (disorder)
"DOID:271"	"hemangioma of liver"		Angioma of Liver, hepatic angioma (disorder)
"DOID:275"	"gastric hemangioma"		hemangioma of stomach
"DOID:277"	"chorioangioma"		Chorioangioma (disorder), Placental hemangioma
"DOID:11294"	"arteriovenous malformation"		Arteriovenous hemangioma (disorder), Cirsoid aneurysm, Racemose Angioma, Racemose aneurysm (morphologic abnormality), Racemose hemangioma (morphologic abnormality)
"DOID:14459"	"hemangioma of orbit"		Angioma of the orbit
"DOID:2517"	"intracranial structure hemangioma"		Angioma of intracranial Structure, hemangioma of intracranial structure (disorder), hemangioma of intracranial structures (disorder), hemangioma of intracranial structures
"DOID:467"	"venous hemangioma"		Venous hemangioma (disorder), Venous hemangioma (morphologic abnormality)
"DOID:469"	"deep angioma"		
"DOID:472"	"subglottic angioma"		hemangioma of the Subglottis
"DOID:474"	"histiocytoid hemangioma"		Angiolymphoid hyperplasia with eosinophilia (disorder), epithelioid haemangioma, epithelioid hemangioma (morphologic abnormality), epithelioid hemangioma
"DOID:482"	"hemangioma of peripheral nerve"		
"DOID:486"	"glomeruloid hemangioma"		Glomeruloid hemangioma (disorder)
"DOID:490"	"hemangioma of lung"		pulmonary hemangioma
"DOID:492"	"acquired hemangioma"		
"DOID:495"	"sclerosing hemangioma"		Sclerosing haemangioma, Sclerosing hemangioma
"DOID:496"	"spindle cell hemangioma"		SCH, spindle cell angioendothelioma, spindle cell hemangioendothelioma [dup] (morphologic abnormality), spindle cell hemangioma (disorder)
"DOID:501"	"central nervous system hemangioma"		hemangioma of CNS
"DOID:505"	"hobnail hemangioma"		
"DOID:5241"	"hemangioblastoma"		Capillary Hemangioblastoma
"DOID:262"	"kidney hemangiopericytoma"		hemangiopericytoma of kidney (disorder), renal hemangiopericytoma
"DOID:263"	"kidney cancer"		malignant neoplasm of kidney except pelvis, malignant tumour of kidney, renal cancer
"DOID:3996"	"urinary system cancer"		
"DOID:2154"	"nephroblastoma"	194070	adult nephroblastoma, adult renal Wilms' tumor, childhood renal Wilms' cancer, renal Wilms tumor
"DOID:3675"	"childhood kidney neoplasm"		pediatric renal tumor
"DOID:4242"	"kidney sarcoma"		renal sarcoma, sarcoma of kidney (disorder)
"DOID:4451"	"renal carcinoma"		carcinoma of kidney, kidney carcinoma
"DOID:4772"	"mesoblastic nephroma"		Mesoblastic Nephroma, Mesoblastic nephroma (disorder), Mesoblastic nephroma (morphologic abnormality)
"DOID:4919"	"renal pelvis carcinoma"		carcinoma of kidney Pelvis, malignant neoplasm of renal pelvis NOS (disorder), malignant neoplasm of renal pelvis, malignant renal Pelvis neoplasm, malignant tumor of renal pelvis (disorder), renal pelvis cancer
"DOID:7571"	"malignant cystic nephroma"		malignant Multilocular cystic Nephroma, malignant cystic Nephroma, malignant multilocular cystic nephroma
"DOID:5373"	"retroperitoneal hemangiopericytoma"		
"DOID:6197"	"conventional malignant hemangiopericytoma"		
"DOID:6209"	"malignant mediastinum hemangiopericytoma"		malignant hemangiopericytoma of mediastinum
"DOID:6332"	"adult malignant hemangiopericytoma"		
"DOID:7731"	"childhood malignant hemangiopericytoma"		malignant pediatric hemangiopericytoma
"DOID:265"	"spleen angiosarcoma"		Splenic hemangiosarcoma, angiosarcoma of spleen (disorder)
"DOID:672"	"spleen cancer"		Splenic neoplasm, malignant Splenic tumor, malignant tumour of spleen, spleen neoplasm
"DOID:268"	"liver angiosarcoma"		angiosarcoma of liver (disorder), angiosarcoma of liver, hemangiosarcoma of the Liver
"DOID:0001816"	"angiosarcoma"		hemangiosarcoma
"DOID:270"	"liver sarcoma"		hepatic sarcoma
"DOID:3571"	"liver cancer"		Ca liver - primary (disorder), Resectable malignant neoplasm of Liver, ca liver - primary, hepatic cancer, hepatic neoplasm, malignant hepato-biliary neoplasm, malignant neoplasm of liver (disorder), malignant neoplasm of liver unspecified (disorder), malignant neoplasm of liver, malignant neoplasm of liver, not specified as primary or secondary, malignant neoplasm of liver, primary, malignant tumor of liver (disorder), neoplasm of liver (disorder), non-resectable primary hepatic malignant neoplasm, primary liver cancer, primary malignant neoplasm of Liver, primary malignant neoplasm of liver (disorder), primary malignant neoplasm of liver NOS (disorder), primary malignant neoplasm of liver, resectable malignant neoplasm of the liver
"DOID:4047"	"liver rhabdomyosarcoma"		Rhabdomyosarcoma of Liver
"DOID:5296"	"liver leiomyosarcoma"		leiomyosarcoma of the Liver
"DOID:6370"	"hepatic osteogenic sarcoma"		Osteosarcoma of Liver
"DOID:8022"	"liver fibrosarcoma"		
"DOID:10762"	"portal hypertension"		
"DOID:11512"	"hepatic vein thrombosis"		Budd-Chiari syndrome
"DOID:11695"	"portal vein thrombosis"		
"DOID:13738"	"hepatic infarction"		hepatic infarction (disorder), infarct of liver
"DOID:13739"	"nutmeg liver"		chronic passive congestion of liver (disorder), chronic passive congestion of liver
"DOID:914"	"peliosis hepatis"		hepatic peliosis (disorder)
"DOID:285"	"hairy cell leukemia"		
"DOID:1040"	"chronic lymphocytic leukemia"	109543, 151400, 609630, 612557, 612558, 612559	B-cell chronic lymphocytic leukemia, CLL, chronic lymphatic leukemia, lymphoplasmacytic leukemia
"DOID:10265"	"hairy cell leukemia of spleen"		Hairy cell leukemia of spleen (disorder), Leukemic reticuloendotheliosis involving spleen, Leukemic reticuloendotheliosis of spleen (disorder)
"DOID:12972"	"intrapelvic lymph node leukemic reticuloendotheliosis"		Leukemic reticuloendotheliosis involving intrapelvic lymph nodes, Leukemic reticuloendotheliosis of intrapelvic lymph nodes (disorder), Leukemic reticuloendotheliosis of intrapelvic lymph nodes [dup] (disorder)
"DOID:709"	"splenic manifestation of hairy cell leukemia"		
"DOID:711"	"refractory hairy cell leukemia"		Refractory Hairy cell Leukemia
"DOID:713"	"HCL-V"		Hairy cell leukaemia variant, Hairy cell leukemia variant (disorder)
"DOID:288"	"endometriosis of uterus"	600458	Endometriosis interna, Endometriosis of myometrium, Endometriosis, myometrium, uterine Adenomyosis
"DOID:11424"	"fallopian tube endometriosis"		Endometriosis of fallopian tube
"DOID:11427"	"endosalpingiosis"		
"DOID:11428"	"endometriosis of intestine"		
"DOID:11429"	"endometriosis of pelvic peritoneum"		
"DOID:11430"	"endometriosis in scar of skin"		
"DOID:11431"	"endometriosis of rectovaginal septum and vagina"		
"DOID:11432"	"endometriosis of ovary"		ovarian endometriosis
"DOID:292"	"lacrimal system cancer"		lacrimal system neoplasm, neoplasm of lacrimal system (disorder), tumor of the lacrimal system
"DOID:2174"	"ocular cancer"		Ocular tumor, eye neoplasm, malignant eye neoplasm, neoplasm of eye (disorder), neoplasm of eye proper
"DOID:12756"	"lacrimal duct cancer"		malignant neoplasm of lacrimal duct NOS (disorder), malignant neoplasm of lacrimal duct, malignant tumor of lacrimal duct
"DOID:294"	"lacrimal gland cancer"		malignant neoplasm of lacrimal gland, malignant tumour of lacrimal gland, neoplasm of lacrimal gland (disorder), tumor of the lacrimal gland
"DOID:293"	"lacrimal gland carcinoma"		carcinoma of the lacrimal gland
"DOID:298"	"lacrimal gland adenocarcinoma"		
"DOID:4685"	"lacrimal gland mucoepidermoid carcinoma"		Mucoepidermoid carcinoma of the lacrimal gland
"DOID:5529"	"lacrimal gland squamous cell carcinoma"		Epidermoid carcinoma of the lacrimal gland
"DOID:296"	"mixed lacrimal gland cancer"		carcinoma Ex Pleomorphic adenoma of the lacrimal gland, carcinoma ex pleomorphic adenoma of lacrimal gland (disorder), malignant mixed neoplasm of lacrimal gland
"DOID:295"	"eye carcinoma"		Ocular carcinoma
"DOID:297"	"pleomorphic adenoma carcinoma"		carcinoma ex pleomorphic adenoma (morphologic abnormality), carcinoma in pleomorphic adenoma
"DOID:8850"	"salivary gland cancer"		malignant neoplasm of major salivary gland, malignant neoplasm of salivary gland duct, malignant neoplasm of salivary gland, malignant tumor of the Major Salivary gland, malignant tumor of the Salivary gland
"DOID:4870"	"lacrimal gland adenoid cystic carcinoma"		
"DOID:299"	"adenocarcinoma"		adenocarcinoma NOS (morphologic abnormality), adenocarcinoma, no subtype (morphologic abnormality), adenocarcinomas
"DOID:305"	"carcinoma"		epithelioma, malignant Epithelioma
"DOID:0060534"	"hepatoid adenocarcinoma"		
"DOID:3030"	"mucinous adenocarcinoma"		Mucin-Secreting adenocarcinoma, Mucin-Secreting carcinoma, Mucin-producing adenocarcinoma (morphologic abnormality), Mucous carcinoma, Pseudomyxoma peritonei with unknown primary site, mucin-producing adenocarcinoma
"DOID:3111"	"cystadenocarcinoma"		cystadenocarcinoma (morphologic abnormality), cystadenocarcinoma NOS (morphologic abnormality)
"DOID:3112"	"papillary adenocarcinoma"		Infiltrating and papillary adenocarcinoma, Papillary adenocarcinoma (morphologic abnormality), Papillary adenocarcinoma NOS (morphologic abnormality), Papillary adenocarcinoma, infiltrating papillary adenocarcinoma
"DOID:3493"	"signet ring cell adenocarcinoma"		Signet Ring cell adenocarcinoma, Signet ring carcinoma NOS (morphologic abnormality), Signet ring cell carcinoma (morphologic abnormality), Signet ring cell carcinoma
"DOID:4024"	"scirrhous adenocarcinoma"		Scirrhous adenocarcinoma (morphologic abnormality), adenocarcinoma with Productive Fibrosis
"DOID:4468"	"clear cell adenocarcinoma"		Clear cell adenocarcinoma (morphologic abnormality), Clear cell adenocarcinoma NOS (morphologic abnormality), Mesonephroid Clear cell carcinoma, Mesonephroma NOS (morphologic abnormality), Mesonephroma, malignant (morphologic abnormality), Water-Clear cell adenocarcinoma, Water-clear cell adenocarcinoma (morphologic abnormality), Water-clear cell carcinoma, Wolffian duct neoplasm, malignant Mesonephroma, mesonephroma
"DOID:4917"	"villous adenocarcinoma"		villous adenocarcinoma (morphologic abnormality)
"DOID:4929"	"tubular adenocarcinoma"		tubular adenocarcinoma (morphologic abnormality), tubular carcinoma
"DOID:302"	"substance abuse"		
"DOID:11206"	"opioid abuse"		
"DOID:11718"	"antidepressant type abuse"		
"DOID:12797"	"hallucinogen abuse"		
"DOID:1574"	"alcohol abuse"		Ethanol abuse
"DOID:5062"	"phencyclidine abuse"		PCP abuse (disorder), Phencyclidine abuse
"DOID:670"	"amphetamine abuse"		
"DOID:809"	"cocaine abuse"		
"DOID:8519"	"barbiturate abuse"		
"DOID:9505"	"cannabis abuse"		marijuana abuse
"DOID:9973"	"substance dependence"		
"DOID:0060001"	"withdrawal disorder"		
"DOID:0050685"	"small cell carcinoma"		Small cell carcinoma - intermediate cell, Small cell carcinoma, intermediate cell (morphologic abnormality), intermediate cell small cell carcinoma
"DOID:0060463"	"NUT midline carcinoma"		nuclear protein in testis midline carcinoma
"DOID:1749"	"squamous cell carcinoma"		epidermoid carcinoma, malignant squamous cell tumor, squamous carcinoma, squamous cell Epithelioma, squamous cell cancer, squamous cell carcinoma (disorder), squamous cell carcinoma (morphologic abnormality), squamous cell carcinoma NOS (morphologic abnormality)
"DOID:1800"	"neuroendocrine carcinoma"		
"DOID:2671"	"transitional cell carcinoma"		transitional carcinoma, transitional cell tumor, urothelial cell carcinoma
"DOID:3025"	"acinar cell carcinoma"		acinar cell carcinoma (morphologic abnormality), acinic cell carcinoma
"DOID:3113"	"papillary carcinoma"		Papillary carcinoma (morphologic abnormality), Papillary carcinoma NOS (morphologic abnormality), Papillary carcinoma
"DOID:4552"	"large cell carcinoma"		
"DOID:4838"	"myoepithelial carcinoma"		
"DOID:4903"	"granular cell carcinoma"		granular cell adenocarcinoma, granular cell carcinoma (morphologic abnormality)
"DOID:5660"	"lymphoepithelioma-like carcinoma"		Lymphoepithelioma-like carcinoma, Nasopharyngeal type Undifferentiated carcinoma, lymphoepithelial carcinoma
"DOID:5662"	"pleomorphic carcinoma"		Pleomorphic carcinoma (morphologic abnormality)
"DOID:308"	"early myoclonic encephalopathy"		Epileptic seizures - myoclonic (disorder), Epileptic seizures, myoclonic, Myoclonic seizure disorder, Myoclonic seizure, myoclonia epileptica, myoclonic epilepsy
"DOID:0050702"	"neonatal period electroclinical syndrome"		
"DOID:310"	"MERRF syndrome"	545000	Fukuhara syndrome (disorder), Myoclonic epilepsy - ragged red fibers (disorder), Myoclonus epilepsy AND ragged red fibers (disorder), Myoclonus with epilepsy and with Ragged Red Fibers (MERRF syndrome)
"DOID:890"	"mitochondrial encephalomyopathy"		
"DOID:312"	"tenosynovitis of foot and ankle"		
"DOID:970"	"tenosynovitis"		Inflammation of tendon sheath
"DOID:315"	"synovium neoplasm"		Synovial neoplasm (morphologic abnormality), Synovial neoplasm NOS (morphologic abnormality), tumor of Synovium
"DOID:0060123"	"connective tissue benign neoplasm"		neoplasm of soft tissue, neoplasm of soft tissues, soft tissue benign neoplasm, tumor of the soft tissue
"DOID:7016"	"tendon sheath lipoma"		Lipoma of the Tendon Sheath
"DOID:319"	"spinal cord disease"		
"DOID:331"	"central nervous system disease"		
"DOID:1089"	"tethered spinal cord syndrome"		spinal dysraphism
"DOID:320"	"vascular myelopathy"		vascular myelopathies (disorder), vascular myelopathies, vascular myelopathy (disorder), vascular myelopathy NOS (disorder)
"DOID:322"	"myelitis"		
"DOID:327"	"syringomyelia"		
"DOID:321"	"tropical spastic paraparesis"	159580	HTLV-associated myelopathy, Tropical spastic paralysis, Tropical spastic paraplegia
"DOID:934"	"viral infectious disease"		Viral Infection, Viral disease (disorder), Viral disease, Viral infection NOS (disorder), Viral infection NOS, Viral infection, unspecified (disorder), Viral: [infection NOS] or [illness], virus infection
"DOID:0050852"	"limb ischemia"		
"DOID:682"	"compartment syndrome"		Compartment syndrome (disorder), Compartment syndrome, Compartmental syndrome, NOS
"DOID:0050425"	"restless legs syndrome"	102300, 610438, 610439, 611185, 611242, 612853, 615197	WED, Willis-Ekbom disease, Wittmaack-Ekbom syndrome
"DOID:10095"	"intracranial abscess"		
"DOID:10554"	"meningoencephalitis"		Meningoencephalitis (disorder)
"DOID:10969"	"hemiplegia"		Infantile hemiplegia (disorder), Infantile hemiplegia NOS (disorder), Infantile hemiplegia NOS, Infantile hemiplegia [Ambiguous], Infantile hemiplegia, Postnatal infantile hemiplegia NOS
"DOID:11387"	"epidural abscess"		abscess epidural
"DOID:11389"	"subdural empyema"		Subdural abscess (disorder)
"DOID:12835"	"quadriplegia"		Quadriplegia (disorder), Quadriplegia, unspecified, tetraplegia
"DOID:3230"	"high pressure neurological syndrome"		
"DOID:607"	"paraplegia"		Paraplegia, lower
"DOID:640"	"encephalomyelitis"		Encephalitis &\/or myelitis
"DOID:8117"	"neuronitis"		
"DOID:8869"	"neuromyelitis optica"		Devic's disease, Devic's syndrome
"DOID:936"	"brain disease"		encephalopathy
"DOID:9471"	"meningitis"		
"DOID:0050752"	"amyotrophic lateral sclerosis type 8"	608627	ALS8, amyotrophic lateral sclerosis 8
"DOID:0060193"	"amyotrophic lateral sclerosis type 1"	105400	ALS1, amyotrophic lateral sclerosis 1
"DOID:0060194"	"amyotrophic lateral sclerosis type 2"	205100	ALS2, amyotrophic lateral sclerosis 2, amyotrophic lateral sclerosis 2, juvenile
"DOID:0060195"	"amyotrophic lateral sclerosis type 3"	606640	amyotrophic lateral sclerosis 3
"DOID:0060196"	"amyotrophic lateral sclerosis type 4"	602433	ALS 4, amyotrophic lateral sclerosis 4, amyotrophic lateral sclerosis 4, juvenile, dHMN with upper motor neuron signs, distal hereditary motor neuropathy with pyramidal features, distal hereditary motor neuropathy with upper motor neuron signs
"DOID:0060197"	"amyotrophic lateral sclerosis type 5"	602099	ALS5, amyotrophic lateral sclerosis 5
"DOID:0060198"	"amyotrophic lateral sclerosis type 6"	608030	ALS6, amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, autosomal recessive amyotrophic lateral sclerosis 6
"DOID:0060199"	"amyotrophic lateral sclerosis type 7"	608031	ALS7, amyotrophic lateral sclerosis 7
"DOID:0060200"	"amyotrophic lateral sclerosis type 9"	611895	ALS9, amyotrophic lateral sclerosis 9
"DOID:0060201"	"amyotrophic lateral sclerosis type 10"	612069	ALS10, TARDBP-related frontotemporal lobar degeneration with TDP43 inclusions, amyotrophic lateral sclerosis 10, amyotrophic lateral sclerosis 10, with or without frontotemporal dementia
"DOID:0060202"	"amyotrophic lateral sclerosis type 11"	612577	ALS11, amyotrophic lateral sclerosis 11
"DOID:0060203"	"amyotrophic lateral sclerosis type 12"	613435	ALS12, amyotrophic lateral sclerosis 12
"DOID:0060204"	"amyotrophic lateral sclerosis type 13"	183090	ALS13, amyotrophic lateral sclerosis 13
"DOID:0060205"	"amyotrophic lateral sclerosis type 14"	613954	ALS14, amyotrophic lateral sclerosis 14, amyotrophic lateral sclerosis, with or without frontotemporal dementia
"DOID:0060206"	"amyotrophic lateral sclerosis type 15"	300857	ALS15, amyotrophic lateral sclerosis 15, amyotrophic lateral sclerosis 15, with or without frontotemporal dementia
"DOID:0060207"	"amyotrophic lateral sclerosis type 16"	614373	ALS16, amyotrophic lateral sclerosis 16
"DOID:0060208"	"amyotrophic lateral sclerosis type 17"	614696	ALS17, CHMP2B-related amyotrophic lateral sclerosis, amyotrophic lateral sclerosis 17
"DOID:0060209"	"amyotrophic lateral sclerosis type 18"	614808	ALS18, amyotrophic lateral sclerosis 18
"DOID:0060210"	"amyotrophic lateral sclerosis type 19"	615515	ALS19, amyotrophic lateral sclerosis 19
"DOID:0060211"	"amyotrophic lateral sclerosis type 20"	615426	ALS20, amyotrophic lateral sclerosis 20
"DOID:0060212"	"amyotrophic lateral sclerosis type 21"	606070	ALS21
"DOID:0060213"	"FTDALS1"	105550	ALSFTD, FTDMND, amyotrophic lateral sclerosis and\/or frontotemporal dementia, frontotemporal dementia and\/or amyotrophic lateral sclerosis 1, frontotemporal dementia and\/or motor neuron disease
"DOID:0060214"	"FTDALS2"		frontotemporal dementia and\/or amyotrophic lateral sclerosis 2
"DOID:0060355"	"amyotrohpic lateral sclerosis type 22"	616208	ALS 22, amyotrohpic lateral sclerosis 22 with or without frontotemporal dementia, amyotrophic lateral sclerosis 22
"DOID:334"	"histrionic personality disorder"		
"DOID:337"	"spinal accessory nerve neoplasm"		XIth Cranial nerve tumors, neoplasm of accessory nerve (disorder)
"DOID:338"	"cranial nerve neoplasm"		neoplasm of cranial nerve (disorder), tumor of the Cranial nerve
"DOID:3620"	"central nervous system cancer"		CNS neoplasm, central nervous system tumor, central nervous system tumors, malignant neoplasm of central nervous system, NOS, malignant tumor of CNS, neoplasm of central nervous system (disorder)
"DOID:1201"	"trigeminal nerve neoplasm"		neoplasm of trigeminal nerve (disorder), tumor of Trigeminal nerve
"DOID:12984"	"vagus nerve neoplasm"		Vagus nerve tumors, neoplasm of vagus nerve (disorder)
"DOID:14125"	"abducens nerve neoplasm"		VIth Cranial nerve tumors, neoplasm of abducens nerve (disorder)
"DOID:1760"	"facial nerve neoplasm"		neoplasm of facial nerve (disorder), tumor of Facial nerve
"DOID:2815"	"cranial nerve malignant neoplasm"		malignant neoplasm of cranial nerve, malignant neoplasm of cranial nerves NOS (disorder), malignant neoplasm of cranial nerves, malignant tumor of cranial nerve (disorder), malignant tumor of the Cranial nerve
"DOID:2817"	"cranial nerve III tumor"		Oculomotor nerve tumor, neoplasm of oculomotor nerve (disorder)
"DOID:3198"	"hypoglossal nerve neoplasm"		neoplasm of hypoglossal nerve (disorder), tumor of Hypoglossal nerve
"DOID:3417"	"glossopharyngeal nerve neoplasm"		neoplasm of glossopharyngeal nerve (disorder), tumor of Glossopharyngeal nerve
"DOID:3419"	"optic nerve neoplasm"		Tumour of optic nerve, neoplasm of optic nerve (disorder), tumor of Second Cranial nerve
"DOID:3421"	"trochlear nerve neoplasm"		neoplasm of trochlear nerve (disorder), tumor of Trochlear nerve
"DOID:339"	"accessory nerve disease"		Eleventh nerve disorder, disorder of 11th nerve, disorder of accessory [11th] nerve, disorder of accessory nerve (disorder)
"DOID:3418"	"glossopharyngeal nerve disease"		
"DOID:10300"	"Raynaud disease"	179600	Raynaud's disease (disorder), Raynaud's disease, Raynaud's syndrome (disorder) [Ambiguous], Raynaud's syndrome (disorder), Raynaud's syndrome NOS (disorder), Raynaud's syndrome
"DOID:11713"	"diabetic angiopathy"		Diabetic vascular disorder
"DOID:1272"	"telangiectasis"		telangiectasia
"DOID:12918"	"thromboangiitis obliterans"	211480	Buerger's disease, Presenile gangrene (disorder), Presenile gangrene, Thromboangiitis obliterans (disorder), Thromboangiitis obliterans NOS (disorder), Thromboangiitis obliterans [Buerger's disease], Thromboangiitis obliterans
"DOID:13252"	"mesenteric vascular occlusion"		
"DOID:1729"	"retinal vascular occlusion"		Retinal vasc. occlusion, Retinal vascular Occlusion, Retinal vascular occlusion (disorder), Retinal vascular occlusion NOS (disorder), Retinal vascular occlusion, unspecified, Unspecified retinal vascular occlusion (disorder)
"DOID:9240"	"erythromelalgia"		Erythromelalgia (disorder)
"DOID:9286"	"priapism"		Mentulagra, Priapism (disorder)
"DOID:342"	"subclavian artery aneurysm"		
"DOID:780"	"placenta disease"		
"DOID:0050862"	"pyometritis"		
"DOID:1005"	"endometrial disease"		
"DOID:13589"	"female infertility of uterine origin"		Infertility, female, of uterine origin
"DOID:13736"	"uterine inflammatory disease"		Inflammatory disease of the uterus
"DOID:13811"	"chronic subinvolution of uterus"		
"DOID:13812"	"adhesions of uterus"		Band of uterus, Intrauterine adhesions, Intrauterine synechiae
"DOID:2253"	"cervix disease"		
"DOID:9042"	"polyp of corpus uteri"		endometrial\/uterine polyp, polyp of Endometrium, polyp of corpus uteri, polyp of the Uterus, polyp, uterus
"DOID:9346"	"Taylor's syndrome"		Congestion-fibrosis syndrome, Taylor syndrome, pelvic congestion syndrome
"DOID:9958"	"hemometra"		Hematometra
"DOID:997"	"uterine inversion"		
"DOID:348"	"blepharochalasis"		
"DOID:530"	"eyelid disease"		
"DOID:349"	"systemic mastocytosis"		SMCD - systemic mast cell disease, systemic tissue mast cell disease
"DOID:350"	"mastocytosis"	154800	mast cell hyperplasia
"DOID:4659"	"extracutaneous mastocytoma"		Extracutaneous mastocytoma
"DOID:4660"	"indolent systemic mastocytosis"		ISM, Indolent systemic mastocytosis (disorder), Indolent systemic mastocytosis (morphologic abnormality)
"DOID:4797"	"SM-AHNMD"		systemic mastocytosis with associated clonal haematological non-mast cell lineage disease, systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease (morphologic abnormality)
"DOID:4798"	"aggressive systemic mastocytosis"		ASM, Aggressive systemic mastocytosis (morphologic abnormality), Lymphadenopathic mastocytosis with eosinophilia
"DOID:3663"	"cutaneous mastocytosis"		CM, Cutaneous mastocytosis (disorder)
"DOID:355"	"mast-cell sarcoma"		
"DOID:1115"	"sarcoma"		connective and soft tissue neoplasm, tumor of soft tissue and skeleton
"DOID:361"	"cervix endometriosis"		Endometriosis of cervix, cervical Endometriosis
"DOID:9460"	"uterine corpus cancer"		corpus uteri cancer
"DOID:11747"	"uterine adnexa cancer"		
"DOID:1380"	"endometrial cancer"		endometrial Ca, endometrial neoplasm, malignant endometrial neoplasm, malignant neoplasm of endometrium, neoplasm of endometrium (disorder), primary malignant neoplasm of endometrium, tumor of Endometrium
